Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Rhode Island,6/7/21,"17,280","17,280"
Vermont,6/7/21,"11,070","11,070"
New Jersey,6/7/21,"132,210","132,210"
New York,6/7/21,"167,670","167,670"
New York City,6/7/21,"128,070","128,070"
Puerto Rico,6/7/21,"52,290","52,290"
U.S. Virgin Islands,6/7/21,"3,240","3,240"
Delaware,6/7/21,"15,210","15,210"
District of Columbia,6/7/21,"11,520","11,520"
Maryland,6/7/21,"89,370","89,370"
Pennsylvania,6/7/21,"170,460","170,460"
Philadelphia,6/7/21,"24,660","24,660"
Virginia,6/7/21,"126,000","126,000"
West Virginia,6/7/21,"28,800","28,800"
Alabama,6/7/21,"72,090","72,090"
Florida,6/7/21,"314,640","314,640"
Georgia,6/7/21,"149,490","149,490"
Kentucky,6/7/21,"65,880","65,880"
Mississippi,6/7/21,"44,460","44,460"
North Carolina,6/7/21,"149,940","149,940"
South Carolina,6/7/21,"74,160","74,160"
Tennessee,6/7/21,"98,820","98,820"
Chicago,6/7/21,"40,770","40,770"
Illinois,6/7/21,"149,490","149,490"
Indiana,6/7/21,"97,200","97,200"
Michigan,6/7/21,"147,870","147,870"
Minnesota,6/7/21,"81,540","81,540"
Ohio,6/7/21,"172,530","172,530"
Wisconsin,6/7/21,"85,680","85,680"
Arkansas,6/7/21,"44,460","44,460"
Louisiana,6/7/21,"69,120","69,120"
New Mexico,6/7/21,"32,490","32,490"
Oklahoma,6/7/21,"57,600","57,600"
Texas,6/7/21,"393,660","393,660"
Iowa,6/7/21,"46,530","46,530"
Kansas,6/7/21,"42,390","42,390"
Missouri,6/7/21,"89,820","89,820"
Nebraska,6/7/21,"28,800","28,800"
Colorado,6/7/21,"82,710","82,710"
Montana,6/7/21,"16,830","16,830"
North Dakota,6/7/21,"11,520","11,520"
South Dakota,6/7/21,"13,140","13,140"
Utah,6/7/21,"41,220","41,220"
Wyoming,6/7/21,"9,450","9,450"
Arizona,6/7/21,"102,510","102,510"
California,6/7/21,"575,640","575,640"
Hawaii,6/7/21,"22,590","22,590"
Nevada,6/7/21,"42,840","42,840"
American Samoa,6/7/21,0,0
Guam,6/7/21,0,0
Marshall Islands,6/7/21,0,0
